UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
111461,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1592,"R",0,"R",1592,"R",212,"R",13,"R",576,"R",36,"R",0,"R",1592,"R",163,"R",148,"R",739,"R",46
111513,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",50,"R",0,"R",50,"R",38,"R",76,"R",44,"R",88,"Z",0,"R",50,"R",0,"Z",0,"R",44,"R",88
111638,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",41,"R",0,"R",41,"R",15,"R",37,"R",15,"R",37,"Z",0,"R",41,"R",0,"Z",0,"R",15,"R",37
111708,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",122,"R",0,"R",122,"R",29,"R",24,"R",87,"R",71,"Z",0,"R",122,"R",0,"Z",0,"R",87,"R",71
111717,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",230,"R",0,"R",230,"R",75,"R",33,"R",186,"R",81,"Z",0,"R",230,"R",0,"Z",0,"R",186,"R",81
111726,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",192,"R",0,"R",192,"R",125,"R",65,"R",170,"R",89,"Z",0,"R",192,"R",0,"Z",0,"R",170,"R",89
111744,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",93,"R",0,"R",93,"R",70,"R",75,"R",78,"R",84,"Z",0,"R",93,"R",0,"Z",0,"R",78,"R",84
111762,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",118,"R",0,"R",118,"R",74,"R",63,"R",84,"R",71,"Z",0,"R",118,"R",0,"Z",0,"R",84,"R",71
111799,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",83,"R",0,"R",83,"R",36,"R",43,"R",49,"R",59,"Z",0,"R",83,"R",0,"Z",0,"R",49,"R",59
111887,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1542,"R",0,"R",1542,"R",121,"R",8,"R",374,"R",24,"R",0,"R",1542,"R",192,"R",169,"R",566,"R",37
