UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
111513,"R",51,"R",0,"R",51,"R",9,"R",36,"R",0,"R",0,"R",15,"R",26,"Z",0,"R",26,"R",17,"R",3,"Z",0,"R",3,"R",3,"R",22,"Z",0,"R",22,"R",16
111708,"R",129,"Z",0,"R",129,"R",47,"R",94,"Z",0,"Z",0,"R",35,"R",111,"Z",0,"R",111,"R",80,"R",3,"Z",0,"R",3,"R",2,"R",15,"Z",0,"R",15,"R",12
111717,"R",239,"Z",0,"R",239,"R",88,"R",204,"Z",0,"Z",0,"R",35,"R",169,"Z",0,"R",169,"R",149,"R",13,"Z",0,"R",13,"R",10,"R",57,"Z",0,"R",57,"R",45
111726,"R",203,"R",0,"R",203,"R",141,"R",185,"Z",0,"Z",0,"R",18,"R",132,"Z",0,"R",132,"R",121,"R",0,"Z",0,"R",0,"R",0,"R",71,"Z",0,"R",71,"R",64
111744,"R",143,"R",0,"R",143,"R",87,"R",106,"R",0,"R",0,"R",37,"R",131,"Z",0,"R",131,"R",99,"R",3,"Z",0,"R",3,"R",2,"R",9,"Z",0,"R",9,"R",5
111762,"R",121,"Z",0,"R",121,"R",77,"R",97,"Z",0,"Z",0,"R",24,"R",50,"Z",0,"R",50,"R",38,"R",2,"Z",0,"R",2,"R",1,"R",69,"Z",0,"R",69,"R",58
111799,"R",89,"Z",0,"R",89,"R",42,"R",60,"Z",0,"Z",0,"R",29,"R",24,"Z",0,"R",24,"R",18,"R",0,"Z",0,"R",0,"R",0,"R",65,"Z",0,"R",65,"R",42
112181,"R",89,"R",0,"R",89,"R",15,"R",71,"R",1,"R",0,"R",17,"R",32,"Z",0,"R",32,"R",26,"R",0,"Z",0,"R",0,"R",0,"R",57,"Z",0,"R",57,"R",45
112288,"R",452,"Z",0,"R",452,"R",117,"R",344,"R",0,"R",0,"R",108,"R",372,"Z",0,"R",372,"R",280,"R",4,"Z",0,"R",4,"R",3,"R",76,"Z",0,"R",76,"R",61
112367,"R",453,"R",0,"R",453,"R",299,"R",299,"R",0,"Z",0,"R",154,"R",164,"Z",0,"R",164,"R",164,"R",0,"Z",0,"R",0,"R",0,"R",289,"Z",0,"R",289,"R",135
