UNITID,XUGPO9_N,UGPO9_N,XUGPO9_T,UGPO9_T,XUGPO9_A,UGPO9_A,XGPO9_N,GPO9_N,XGPO9_T,GPO9_T,XGPO9_A,GPO9_A,XPO9_N,PO9_N,XPO9_T,PO9_T,XPO9_A,PO9_A,XUGDOD_N,UGDOD_N,XUGDOD_T,UGDOD_T,XUGDOD_A,UGDOD_A,XGDOD_N,GDOD_N,XGDOD_T,GDOD_T,XGDOD_A,GDOD_A,XDOD_N,DOD_N,XDOD_T,DOD_T,XDOD_A,DOD_A   
148937,"R",1,"R",3476,"R",3476,"A",,"A",,"A",,"R",1,"R",3476,"R",3476,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
148955,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
148991,"R",21,"R",67694,"R",3224,"A",,"A",,"A",,"R",21,"R",67694,"R",3224,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
149028,"R",6,"R",100551,"R",16759,"R",1,"R",2637,"R",2637,"R",7,"R",103188,"R",14741,"R",1,"R",4000,"R",4000,"R",0,"R",0,"A",,"R",1,"R",4000,"R",4000
149204,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
149222,"R",467,"R",3538514,"R",7577,"R",65,"R",554838,"R",8536,"R",532,"R",4093352,"R",7694,"R",300,"R",725220,"R",2417,"R",10,"R",36016,"R",3602,"R",310,"R",761236,"R",2456
149231,"R",262,"R",2344053,"R",8947,"R",32,"R",291048,"R",9095,"R",294,"R",2635101,"R",8963,"R",12,"R",38284,"R",3190,"R",3,"R",9699,"R",3233,"R",15,"R",47983,"R",3199
149310,"R",1,"R",4825,"R",4825,"A",,"A",,"A",,"R",1,"R",4825,"R",4825,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
149329,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
149365,"R",59,"R",197700,"R",3351,"A",,"A",,"A",,"R",59,"R",197700,"R",3351,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
149499,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
149505,"R",7,"R",110100,"R",15729,"R",0,"R",0,"A",,"R",7,"R",110100,"R",15729,"R",1,"R",3500,"R",3500,"R",0,"R",0,"A",,"R",1,"R",3500,"R",3500
149514,"R",18,"R",182609,"R",10145,"R",11,"R",79980,"R",7271,"R",29,"R",262589,"R",9055,"R",2,"R",3750,"R",1875,"R",1,"R",750,"R",750,"R",3,"R",4500,"R",1500
149532,"R",94,"R",221966,"R",2361,"A",,"A",,"A",,"R",94,"R",221966,"R",2361,"R",5,"R",6910,"R",1382,"A",,"A",,"A",,"R",5,"R",6910,"R",1382
149550,"R",5,"R",42785,"R",8557,"A",,"A",,"A",,"R",5,"R",42785,"R",8557,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
149639,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",1,"R",2500,"R",2500,"R",1,"R",2500,"R",2500
149727,"R",160,"R",404440,"R",2528,"A",,"A",,"A",,"R",160,"R",404440,"R",2528,"R",3,"R",2394,"R",798,"A",,"A",,"A",,"R",3,"R",2394,"R",798
149763,"R",10,"R",110773,"R",11077,"R",1,"R",5438,"R",5438,"R",11,"R",116211,"R",10565,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
149772,"R",145,"R",1005992,"R",6938,"R",21,"R",84292,"R",4014,"R",166,"R",1090284,"R",6568,"R",4,"R",10679,"R",2670,"R",0,"R",0,"A",,"R",4,"R",10679,"R",2670
149781,"R",33,"R",1395670,"R",42293,"R",0,"R",0,"A",,"R",33,"R",1395670,"R",42293,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
