UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
486752,"R",8,"R",203051,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",61937,"R",3,"R",124991,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",16123,"Z",0,"Z",0,"Z",0,"Z",0
486813,"R",23,"R",724255,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",287100,"R",2,"R",62951,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",374204,"Z",0,"Z",0,"Z",0,"Z",0
486822,"R",18,"R",1006772,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",397336,"R",2,"R",230078,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",379358,"Z",0,"Z",0,"Z",0,"Z",0
486840,"R",2274,"R",120518601,"Z",0,"Z",0,"Z",0,"Z",0,"R",203,"R",8613277,"R",586,"R",52429759,"R",114,"R",5543815,"R",291,"R",15031139,"R",78,"R",4732389,"R",9,"R",575694,"R",313,"R",8246283,"R",3,"R",62400,"R",590,"R",21843104,"R",87,"R",3440741,"Z",0,"Z",0
486901,"R",128,"R",5667918,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",190427,"R",33,"R",2164361,"R",9,"R",428949,"R",5,"R",238392,"R",33,"R",1295469,"R",2,"R",83370,"R",17,"R",453207,"R",1,"R",41102,"R",20,"R",621071,"R",4,"R",151570,"Z",0,"Z",0
486938,"R",18,"R",1221588,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",488254,"R",6,"R",541214,"Z",0,"Z",0,"R",1,"R",65345,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",126775,"Z",0,"Z",0,"Z",0,"Z",0
486947,"R",17,"R",1153219,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",508768,"R",6,"R",551063,"Z",0,"Z",0,"R",1,"R",50393,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",42995,"Z",0,"Z",0,"Z",0,"Z",0
486956,"R",27,"R",1800010,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",832360,"R",6,"R",629937,"Z",0,"Z",0,"R",1,"R",58425,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",279288,"Z",0,"Z",0,"Z",0,"Z",0
486965,"R",62,"R",3673528,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",889200,"R",3,"R",239000,"R",3,"R",189977,"R",5,"R",245000,"R",6,"R",342978,"Z",0,"Z",0,"R",11,"R",567009,"R",14,"R",879008,"R",6,"R",321356,"Z",0,"Z",0,"Z",0,"Z",0
487010,"R",1053,"R",59171193,"R",23,"R",1131450,"Z",0,"Z",0,"R",18,"R",1093874,"R",151,"R",18255977,"R",61,"R",3750282,"R",142,"R",7960427,"R",13,"R",632006,"R",65,"R",4680526,"R",243,"R",7908408,"Z",0,"Z",0,"R",245,"R",9830274,"R",70,"R",2846513,"R",22,"R",1081456
487092,"R",126,"R",8046239,"Z",0,"Z",0,"Z",0,"Z",0,"R",40,"R",2128050,"R",16,"R",2015097,"R",6,"R",408738,"R",17,"R",1250373,"R",18,"R",970818,"R",1,"R",33180,"R",1,"R",30827,"Z",0,"Z",0,"R",24,"R",1067356,"R",3,"R",141800,"Z",0,"Z",0
487153,"R",2,"R",122233,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",83740,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",38493,"Z",0,"Z",0,"Z",0,"Z",0
487162,"R",180,"R",7830841,"Z",0,"Z",0,"R",5,"R",292956,"R",16,"R",712608,"R",18,"R",1638733,"R",25,"R",1303116,"R",9,"R",389148,"R",13,"R",498936,"Z",0,"Z",0,"R",41,"R",1286616,"Z",0,"Z",0,"R",53,"R",1708728,"Z",0,"Z",0,"Z",0,"Z",0
487296,"R",39,"R",2034546,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",552897,"R",2,"R",211062,"R",12,"R",648187,"R",3,"R",158033,"R",2,"R",111901,"Z",0,"Z",0,"R",1,"R",25501,"Z",0,"Z",0,"R",6,"R",239615,"R",2,"R",87350,"Z",0,"Z",0
487302,"R",28,"R",1480623,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",89240,"R",13,"R",806736,"R",2,"R",87152,"Z",0,"Z",0,"R",1,"R",50648,"Z",0,"Z",0,"R",1,"R",31200,"R",6,"R",318388,"R",3,"R",97259,"Z",0,"Z",0,"Z",0,"Z",0
487311,"R",28,"R",1854898,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",103002,"R",8,"R",809861,"R",5,"R",235681,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",49000,"R",10,"R",560361,"R",1,"R",37502,"R",1,"R",59491,"Z",0,"Z",0
487320,"R",994,"R",43473860,"Z",0,"Z",0,"Z",0,"Z",0,"R",149,"R",5751516,"R",163,"R",12322740,"R",87,"R",4983084,"R",69,"R",3605448,"R",83,"R",3235800,"Z",0,"Z",0,"R",119,"R",3204720,"R",6,"R",186816,"R",238,"R",7449580,"R",71,"R",2395720,"R",9,"R",338436
487375,"R",19,"R",1230750,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",594008,"Z",0,"Z",0,"R",1,"R",50000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",586742,"Z",0,"Z",0,"Z",0,"Z",0
